word,meaning
"'cause","מפני ש-, מכיוון, בגלל"
"'fraid so","חוששני שכן"
A-bomb,"פצצת אטום, פצצה אטומית"
AAAS,"איגוד אמריקאי לקידום מדע"
ABS,"ABS, מערכת למניעת נעילת גלגלים, מערכת (במכוניות או אופנועים) המונעת את נעילת הגלגלים בשעת בלימה או במקרה של עצירת חירום"
AC/DC,"(סלנג מעליב) דו-מיני, כינוי פוגעני לאדם הנמשך לאנשים משני המינים"
ADPCM,"דחיסה ספרתית גלית, שיטה לדחיסת נתוני קול"
AGL,"גובה מעל פני הקרקע"
ATA,"מפרט ATA, המפרט שעליו מבוסס תקן IDE לדיסקים"
Aage,"אוגה, שם פרטי לזכר; אוגה נילס בוהר (יליד 1922), פיסיקאי דני, חתן פרס נובל ב-1975"
"Abba Eban","אבא אבן (1915-2002, נולד כ-אוברי סולומון אבן) , דיפלומט ומדינאי ישראלי מהגדולים בדורו שנולד בדרום-אפריקה (מתפקידיו: נציג ישראל באו&quot;ם, שגריר בארה&quot;ב, נשיא מכון ויצמן, חבר כנסת ושר החוץ. היה חתן פרס ישראל, כתב ספרים רבים והצטיין בכישוריו כנואם מבריק)"
"Abbie Hoffman","אבי הופמן (1936-1989), מנהיג תרבות הנגד של שנות ה- 60 בארצות הברית, מייסד התנועה הפוליטית הנגד מלחמתית בשם &quot;ייפי&quot;"
Aberdonian,"של או הקשור לאברדין (עיר-נמל בצפון-מזרח סקוטלנד)"
Abitibi-Temiscamingue,"אזור במערב קוויבק (קנדה)"
"Abraham Halfy","אברהם חלפי"
"Acer Peripherals","חברת מחשבים גדולה בטייוואן, יצרנית מחשבים אישיים וציוד היקפי (מחשבים)"
Acta,"רשומות, מסמכים רשמיים"
"Actiontec Electronics, Inc.","אקשיינטק אלקטרוניקס אינק, חברה המייצרת מודם, חברה מובילה של תקשורת בעלת טווח תדרים רחב"
Adamite,"&quot;אדמי&quot;, צאצא של אדם (בן זוגה של חוה); בן אדם, בן-תמותה; נודיסטי, בן לכת של אנשי-חזון המתיימרים לחקות את אדם ומתהלכים עירומים; אדמייט, סוג של מחצב ירוק"
Adeline,"אדלין, שם פרטי לנקבה; כפר במדינת אילינוי (בארה&quot;ב)"
Aden,"עדן, עיר נמל בתימן ובירת דרום תימן"
"Adlai Ewing Stevenson","אדליי יואינג סטיבנסון (1835-1914), סגן נשיא ארה&quot;ב (1893-1897) בתקופת כהונתו של הנשיא גרובר קליבלנד"
"Aerial Delivery Dispensing System","מערכת מסירה וחלוקה מוטסת"
"Aeronautical Industry","התעשייה האווירית, תעשייה ביטחונית ממשלתית העוסקת בנושאי תעופה, תע&quot;א"
Aetna,"אטנה, חברה אמריקאית שמרכזה בקונטיקט, ספקית שירותי ביטוח וכספים בארה&quot;ב וברחבי העולם"
Afro-American,"אפרו-אמריקאי, של או שייך לאמריקאי ממוצא אפריקאי או בעל מתרבות אפריקאית"
Afro-Caribbean,"אפרו-קאריבי, אדם קאריבי ממוצא אפריקאי"
Agassi,"אגאסי, שם משפחה; אנדרה אגאסי (נולד ב-1970), שחקן טניס אמריקאי בעל מדליית זהב אולימפית (1996), זוכה ה&quot;גראנד סלאם&quot; לאחר נצחונו בצרפת (1999)"
Agenor,"אגנור, בנו של פוסידון ומלך טירון (מיתולוגיה יוונית)"
"Agnes Gonxha Bojaxhiu","שם הלידה של האמא תרזה (1997-1910), נזירה קתולית שנולדה באלבניה, מייסדת ארגוני צדקה לחולים ולמעוטי יכולת, זוכת פרס נובל לשלום לשנת 1979"
Ahab,"אחאב, מלכה השביעי של ישראל (853-875 לפנה&quot;ס) שבזמנו הונהג פולחן הבעל, בעלה של איזבל (תנ&quot;ך); הגיבור הטרגי ב&quot;מובי דיק&quot; ספרו של הרמן מלוויל"
Aharon,"אהרון, שם פרטי לזכר; שם משפחה; אחיו הבכור של משה (תנ&quot;ך)"
Ahmed,"אחמד (שם ערבי)"
"Air Products & Chemicals","אייר פרודקטס אנד קמיקאלס, חברת כימיקלים אמריקאית (מרכזה בפנסילבניה שבארה&quot;ב), יצרנית גזים תעשיתיים וכימיקלים מיוחדים"
Alaska,"אלסקה, מדינה של ארה&quot;ב בחלקה הצפון מערבי של צפון אמריקה"
Aleppo,"אלפו, עיר בצפון סוריה (נקראת גם &quot;חאלב&quot;)"
Alessandro,"אלסנדרו, שם פרטי לזכר"
"Alexander Yannai","אלכסנדר ינאי (126-76 לפנה&quot;ס), מלך חשמונאי וכוהן גדול, בנו של הורקנוס, נלחם בסורים ובנבאטים"
Alf,"אלף, שם משפחה; שם פרטי לזכר (קיצור של אלפרד); המלך אלף שחיזר אחר אלפהיד (במיתולוגיה הנורבגית); סדרת קומדית-מצבים שהפיקה רשת תקשורת הטלוויזיה האמריקאית &quot;אן.בי.סי &quot; ואשר שודרה בין השנים 1986-1990"
Algerian,"אלג'ירי, של אלג'יריה ; השייך לאלג'יריה , שמקורו באלג'יריה"
Alicante,"אליקנטה, עיר בדרום ספרד על חוף הים התיכון"
Alma,"אלמה, שם פרטי לנקבה; שם של מספר ערים ועיירות בארה&quot;ב; עיר במחוז קוויבק (בקנדה)"
"Alonei Aba","אלוני אבא, מושב שיתופי בהרי נצרת"
Altay,"אלטאי, שטח במרכז אסיה השייך לפדרציה הרוסית"
Altum,"אלטום, שם משפחה"
Ambulocetus,"אמבולוצטוס, לוייתן קדום מעידן האאוקן אשר הלך על היבשה וגם שחה במים"
Amerada,"אמרדה , אמרדה הס, חברת נפט אמריקאית שמרכזה בעיר ניו יורק (ארה&quot;ב), יצרנית מובילה של מוצרי נפט גלמי ומזוקק"
"America Israel Political Action Committee","השדולה היהודית למען ישראל בוושינגטון, איפ&quot;ק (AIPAC)"
"American citizenship","אזרחות אמריקאית, נתינות אמריקאית"
Amerigo,"אמריגו, שם פרטי לזכר; אמריגו וספוצ'י (1454-1512), מגלה ארצות איטלקי, על-שמו יבשת אמריקה"
Amidar,"עמידר, חברת שיכון ישראלית"
Amiga,"אמיגה, מראשוני המחשבים האישיים שהוכנס לראשונה ב-1985, היה נפוץ בשנות השמונים ואח&quot;כ יצא מכלל שימוש"
"Ammunition Hill","גבעת התחמושת (גבעה בירושלים שעליה נערך קרב עקוב מדם במלחמת ששת הימים)"
Amphion,"(במיתולוגיה היוונית) אמפיון, בנם של זאוס ואנטיופה, אחיו התאום של זיתוס, בעלה של ניובה מלכת תבאי"
"Anders' disease","(רפואה) מחלת אנדרס, תסמונת גבששת גידולים שומניים, מחלה המאופיינת בצבירי שומן או בגושי עור מקומיים כואבים (על הבטן או בגפיים) רגישים למגע, התרבות שאתי ליפיד"
Andorran,"יליד או תושב אנדורה (נסיכות בהרי הפירינאים)"
Andrew,"אנדרו, שם פרטי לזכר; שם פרטי נדיר לנקבה; שם משפחה; אחד מ-12 שליחי ישו; עיר באיובה (ארה&quot;ב); עיירה באילינוי (ארה&quot;ב); מחוז במונטנה (ארה&quot;ב)"
Angles,"אנשי השפלה של צפון גרמניה שהגרו והתיישבו במזרח אנגליה במהלך המאה ה-5"
Anglicist,"מומחה בשפה האנגלית והספרות האנגלית"
"Anne Frank","אנה פרנק (1929-1945), נערה יהודייה שתיארה ביומנה את כל המתרחש בזמן שהסתתרה עם משפחתה בהולנד בזמן מלה&quot;ע השנייה, יומנה נמצא ותורגם לשפות רבות (נתפסה והוצאה להורג במחנה הריכוז ברגן בלזן)"
"Anne Hathaway","אן האת'אוויי (ילידת 1982) שחקנית קולנוע אמריקאית"
"Annie Girardot","אנני ז'ירארדו (2011-1931) שחקנית צרפתייה שהייתה אחת הכוכבות הידועות והנצחיות ביותר של צרפת"
Anthem,"אנת'ם, חברת ביטוח אמריקאית ( מרכזה באינדיאנה ), ספקית ביטוח בריאות וניהול שירותי בריאות"
"Anthony Herman Gerard Fokker","אנטוני הרמן ג'ררד פוקר, אנטוני פוקר (1890-1939), יצרן כלי-תעופה אמריקאי יליד הולנד שהקים את מפעל המטוסים של אמריקה"
Antigua,"אנטיגואה, אי באיים הקאריביים הכולל את אנטיגה-ברבודה (קהילייה עצמאית באיי הודו המערבית במזרח הים הקריבי); שם משפחה"
"Apostolic Fathers","אבות הכנסייה; כתביהם של אבות הכנסייה"
Appalachia,"אפלצ'יה, אזור הרי האפלצ'ים בארה&quot;ב; (בגיאולוגיה) סלעי הרים אלה"
Apr.,"אפר', אפריל, החודש הרביעי בלוח השנה הלועזי אחרי מרץ ולפני מאי"
Arabia,"חצי האי ערב, חצי אי בדרום מערב אסיה (כולל את ערב הסעודית, תימן, עומן, איחוד האמירויות הערביות, קטאר, בחריין ו-כווית)"
"Arabian Sea","הים הערבי, הזרוע הצפון-מערבית של האוקיינוס ההודי הנמצאת בין חצי האי ערב והודו"
"Arabic characters","אותיות ערביות"
Araby,"ערב, חצי האי ערב, חצי אי במזרח התיכון (הכולל את ערב הסעודית, תימן, עומן, איחוד האמירויות הערביות, קטאר, בחריין וכווית)"
Aramaic,"ארמי, בן ארם, תושב ארם, איש החי בארם"
Argentinean,"ארגנטינאי, יליד או תושב ארגנטינה; אזרח ארגנטינה"
Argentinian,"ארגנטינאי, יליד או תושב ארגנטינה ( מדינה בדרום אמריקה)"
Ariadne,"אריאדנה, בתו של מינוס מלך כרתים (במיתולוגיה היוונית); שם פרטי לנקבה"
Ariel,"אריאל, שם פרטי עברי לזכר; שם יישוב בשומרון"
"Arkansas State University","אוניברסיטת המדינה של ארקנסו, אוניברסיטה ציבורית הכוללת מספר קמפוסים ראשיים ומספר קמפוסים קטנים במדינת ארקנסו (ארה&quot;ב)"
Arlo,"ארלו, שם פרטי לזכר (גרסה נוספת לארלנד)"
Armstrong,"ארמסטרונג, שם משפחה"
