לאבוד;אבד;verb;пааль;потеряться, пропасть
להיאבד;אבד;verb;нифъаль;быть потерянным, пропасть
לאבד;אבד;verb;пиэль;потерять, погубить
להתאבד;אבד;verb;hитпаэль;покончить самоубийством
להאביד;אבד;verb;hифъиль;уничтожить, полностью разрушить
לאבחן;אבחן;verb;пиэль;диагностировать, устанавливать
לאבטח;אבטח;verb;пиэль;охранять, обеспечивать безопасность
לאבות;אבה;verb;пааль;желать, хотеть 
לאבול;אבל;verb;пааль;скорбеть по комулибо , быть в трауре 
להתאבל;אבל;verb;hитпаэль;скорбеть, оплакивать 
להתאבן;אבן;verb;hитпаэль;окаменеть
לאבן;אבן;verb;пиэль;превратить в камень обездвижить, оглушить
להאביס;אבס;verb;hифъиль;кормить 
להיאבק;אבק;verb;нифъаль;бороться
לאבק;אבק;verb;пиэль;растирать в пыль
להתאבק;אבק;verb;hитпаэль;бороться
להתאבק;אבק;verb;hитпаэль;покрываться пылью
להאביק;אבק;verb;hифъиль;опылять
לאגוד;אגד;verb;пааль;связывать  соединять
לאגד;אגד;verb;пиэль;связывать, объединять
להיאגד;אגד;verb;нифъаль;быть связанным, соединенным
להתאגד;אגד;verb;hитпаэль;объединяться, образовывать союз
לאגוף;אגף;verb;пааль;обходить с фланга
לאגף;אגף;verb;пиэль;обходить с фланга
לאגור;אגר;verb;пааль;скапливать, запасать
להתאגרף;אגרף;verb;hитпаэль;боксировать
להתאדות;אדה;verb;hитпаэль;испариться исчезнуть
לאדות;אדה;verb;пиэль;испарять тушить, готовить на пару
להאדים;אדם;verb;hифъиль;краснеть
לאהוב;אהב;verb;пааль;любить
להתאהב;אהב;verb;hитпаэль;влюбляться 
להיאהב;אהב;verb;нифъаль;быть любимым
לאהוד;אהד;verb;пааль;симпатизировать , болеть 
לאהוה;אהה;verb;пааль;выть, кричать 
להאיט;אוט;verb;hифъиль;замедлять
לאוות;אוה;verb;пиэль;желать 
להתאוות;אוה;verb;hитпаэль;страстно желать  
לאוץ;אוץ;verb;пааль;мчаться, спешить
להאיץ;אוץ;verb;hифъиль;торопить, ускорять, подгонять
להאיר;אור;verb;hифъиль;освещать, светить
לאוורר;אורר;verb;пиэль;проветривать, вентилировать
להתאוורר;אורר;verb;hитпаэль;проветриваться, вентилироваться
לאוושש;אושש;verb;пиэль;шелестеть 
להיאות;אות;verb;нифъаль;согласиться, соответствовать
